#Mean crosslink separation = 0.0854924
#Dist	Freq
0.00300033	2700
0.00956056	5972
0.0161208	5309
0.022681	5046
0.0292413	4561
0.0358015	4412
0.0423617	4025
0.0489219	3687
0.0554822	3444
0.0620424	3070
0.0686026	2924
0.0751629	2775
0.0817231	2439
0.0882833	2276
0.0948436	2195
0.101404	2024
0.107964	1790
0.114524	1752
0.121084	1591
0.127645	1526
0.134205	1272
0.140765	1164
0.147325	1103
0.153886	1018
0.160446	933
0.167006	900
0.173566	822
0.180127	755
0.186687	728
0.193247	644
0.199807	578
0.206367	557
0.212928	497
0.219488	455
0.226048	448
0.232608	362
0.239169	375
0.245729	365
0.252289	305
0.258849	277
0.26541	267
0.27197	231
0.27853	199
0.28509	175
0.29165	202
0.298211	173
0.304771	153
0.311331	145
0.317891	140
0.324452	122
0.331012	99
0.337572	101
0.344132	98
0.350693	90
0.357253	82
0.363813	87
0.370373	74
0.376933	67
0.383494	63
0.390054	62
0.396614	55
0.403174	59
0.409735	40
0.416295	39
0.422855	37
0.429415	36
0.435976	41
0.442536	20
0.449096	24
0.455656	26
0.462216	25
0.468777	34
0.475337	19
0.481897	14
0.488457	23
0.495018	14
0.501578	17
0.508138	7
0.514698	14
0.521259	13
0.527819	8
0.534379	5
0.540939	8
0.547499	8
0.55406	9
0.56062	7
0.56718	6
0.57374	0
0.580301	3
0.586861	8
0.593421	7
0.599981	4
0.606541	1
0.613102	4
0.619662	3
0.626222	1
0.632782	2
0.639343	1
0.645903	2
0.652463	0
0.659023	1
0.665584	2
0.672144	3
0.678704	1
0.685264	2
0.691824	1
0.698385	2
0.704945	1
0.711505	2
0.718065	1
0.724626	2
0.731186	0
0.737746	1
0.744306	0
0.750867	0
0.757427	1
0.763987	0
0.770547	1
0.777107	0
0.783668	0
0.790228	2
0.796788	1
0.803348	0
0.809909	0
0.816469	0
0.823029	1
0.829589	0
0.83615	0
0.84271	1
0.84927	0
0.85583	0
0.86239	0
0.868951	0
0.875511	0
0.882071	0
0.888631	0
0.895192	0
0.901752	0
0.908312	0
0.914872	0
0.921433	0
0.927993	1
